ODCAccessionNbr,DOI,DatasetTitle,DatasetTyp,Year,DatePublished,Laboratory,StudyLeader,SubjectNbrs,SpeciesTyp,SpeciesStrainTyp,SexTyp,AnimalSourceNam,AgeVal,BodyWgtMeasrVal,InjuryTyp,InjuryLevelAnatomical,InjuryLevelSpinal,InjuryLaterality,InjuryDevice,InjurySeverity,InjuryContusionForce,InjuryContusionDataAvail,Locomotion,OtherBehaviour,InterventionTyp,InterventionAgent,AuthorKeywords,RelatedDatasets,Funders,CoDES,Purpose,Notes
454,http://doi.org/10.34945/F5F30N,Minocycline treatment for acute cervical spinal cord injury in female rats: microbiota composition,Animal,2021,2021-01-22,Karim Fouad,Not reported,36,Rat,Lewis,Female,Not reported,Not reported,200-250 g,Contusion,Cervical,C5,Unilateral,Not reported,Moderate,125,NA,NA,NA,Drug/agent,minocycline,minocycline; spinal cord injury; 16S rRNA,457,Craig H. Neilsen Foundation,pre,Minocycline has been widely studied for its local anti-inflammatory properties; however little is known about its antibiotic and systemic immune effects following spinal cord injury (SCI). The aim of the present study is to elucidate multiple system-wide changes involving the microbiota-immune axis induced by minocycline treatment in a rodent model of cervical contusion SCI (unilateral contusion 125 kdyns at an angle of 15 degrees to the right at C5).,
555,http://doi.org/10.34945/F5V30C,Acute post-injury blockade of a2d-1 calcium channel subunits on pathological autonomic plasticity after T3 crush spinal cord injury in female mice,Animal,2021,2021-01-26,Phillip Popovich,Not reported,199,Mouse,C57BL/6J; 129SVE,Female,Not reported,10-12 weeks,Not reported,Crush,Thoracic,T3,Not reported,Forceps,Severe,NA,NA,NA,NA,Drug/agent,gabapentin (GBP),autonomic dysreflexia; dysautonomia; immunosuppression; neuroplasticity; spinal cord injury; synaptogenesis,NA,Craig H. Neilsen Foundation; Department of Defense (USA); National Institutes of Health; Ray W. Poppleton Endowment; Wings for Life,pre,"After a spinal cord injury (SCI), normally innocuous visceral or somatic stimuli can trigger uncontrolled reflex activation of sympathetic circuitry, causing pathological dysautonomia. Here, we tested the hypothesis that SCI causes remarkable structural remodeling and synaptic plasticity, creating abnormal spinal sympathetic reflexes that promote dysautonomia. We also tested whether treating mice with prophylactic gabapentin (GBP), an FDA-approved drug that inhibits a2d-1-mediated synaptogenesis in the brain, can prevent these pathologies.",
459,http://doi.org/10.34945/F5FW2B,Lipopolysaccharide treatment in the subacute stage of cervical spinal cord injury enhances motor recovery and increases anxiety-like behaviour in female rats,Animal,2021,2021-02-05,Karim Fouad,Not reported,50,Rat,Lewis,Female,Not reported,Not reported,210-235 g,DLQ,Cervical,C4,Unilateral - ipsilateral to preferred paw,Not reported,Not reported,NA,NA,Ladder walking,SPRGR; Open field; Cylinder; Elevated plus maze; von Frey,Drug/agent; Rehabilitative training,lipopolysaccharide (LPS),anxiety; inflammation; lipopolysaccharide; rehabilitation; spinal cord injury,NA,Wings for Life,pre,"Previous published work in our laboratory found that eliciting inflammation with lipopolysaccharide (LPS) in the chronic (8 weeks) stage of cervical level 4 dorsolateral quadrant spinal cord injury (SCI) enhances the efficacy of rehabilitative training. The purpose of the present study is to determine whether sub-acute LPS treatment has a similar effect, since the lesion environment is already in a more inflammatory state at this earlier time point. ",
595,http://doi.org/10.34945/F5QG66,"Hemodynamics, weight and overground locomotion from 1125 rats with different spinal cord injury thoracic contusion severities recovered from the Multicenter Spinal Cord Injury Study (MASCIS)",Animal,2021,2021-03-03,Ferguson Lab,Not reported,1125,Rat,Long Evans,Female; Male,Not reported,Not reported,Not reported,Contusion,Thoracic,T9-T10,Not reported,MASCIS/NYU Impactor device,Mild; Moderate; Severe,12.5 mm; 25 mm; 50 mm ,NA,BBB,NA,NA,NA,blood pressure; data archeology; dark data; Multicenter Animal Spinal Cord Injury Study (MASCIS),567,Craig H. Neilsen Foundation; Department of Veterans Affairs (USA); National Center for Advancing Translational Sciences; National Institutes of Health; National Institute of Neurological Disorders and Stroke; National Institute of Mental Health; Wings for Life,pre,Results of the process of archeological data recovery of spinal cord injury (SCI) data sets from the Multicenter Spinal Cord Injury Study (MASCIS). The goal for this subset of the MASCIS dataset was to externally validate previous fundings on the importance of peri-surgery blood pressure in long term recovery.,
567,http://doi.org/10.34945/F5V884,"A comprehensive set of hemodynamic parameters, blood gases and hemoglobin levels during spinal cord injury procedure followed by weekly assessments of locomotor and bladder function recovery with survival histology data from 334 rats in the MASCIS trial",Animal,2021,2021-03-03,Ferguson Lab,Not reported,334,Rat,Not reported,Female; Male,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Mild; Moderate; Severe,12.5 mm; 25 mm; 50 mm ,NA,BBB,NA,NA,NA,data-driven discovery; data recovery; FAIR data; spinal cord injury; topological data analysis,595,Craig H. Neilsen Foundation; Department of Defense (USA); National Institutes of Health; NYSCoRE; Wings for Life,pre,To describe the application of topological data analysis (TDA) for data-driven discovery in preclinical spinal cord injury (SCI) data sets mined from the Visualized Syndromic Information and Outcomes for Neurotrauma-SCI (VISION-SCI) repository.,several data elements were not reported for this dataset but as a subset of MASCIS are assumed to be the same as dataset 595
602,http://doi.org/10.34945/F5B59T,Alteration of H-reflex and MEP amplitude in the flexor carpi radialis muscle with transcutaneous spinal cord stimulation during static and leg cycling tasks in neurologically intact male and female humans,Clinical,2021,2021-03-09,Mushahwar Lab University of Alberta,Not reported,17,Human (deidentified),NA,Not reported,NA,Not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neuromodulation,transcutaneous spinal cord stimulation,cervico-lumbar coupling; corticospinal facilitation; electromyography; H-reflex; motor evoked potential (MEP); transcutaneous spinal cord stimulation,NA,Alberta Innovates; Canada Foundation for Innovation; Canada Research Chairs; Canadian Institutes of Health Research; University of Alberta Faculty of Medicine and Dentistry,pre,"In this study, we investigated the ability of tSCS applied to the lumbar and cervical spinal cord to modulate cervical circuitry. We raised two questions in this study: 1) To what extent can the cervical circuitry of the spinal cord be modulated by tSCS as measured in the flexor carpi radialis (FCR) by Hoffmann (H-)reflex and motor evoked potential (MEP) amplitude? 2) Does providing tSCS at multiple segments of the spinal cord (lumbar and cervical combined) converge to alter excitability of H-reflex or MEP amplitude to a greater extent compared to either site alone? The neuromodulatory effects of tSCS were assessed during both a static task and relative to a leg cycling paradigm to determine if tSCS alters cervico-lumbar coupling.",
556,http://doi.org/10.34945/F56C7W,Behaviour and histopathology after simultaneous cortical infusion of PKA and EPAC agonists and rehabilitative forelimb motor training after incomplete cervical spinal cord injury in female rats,Animal,2021,2021-03-22,Karim Fouad,Nicholas Batty,51,Rat,Lewis,Female,Charles River Canada,2 months,180-220 g,DLQ,Cervical,C4,Unilateral - ipsilateral to preferred paw,Not reported,Not reported,NA,NA,NA,SPRGR; von Frey,Drug/agent,protein kinase A (PKA) agonist; exchange protein activation by cAMP (EPAC) agon,axonal collateral; cAMP; EPAC; PKA; plasticity; neurite growth; spinal cord injury,NA,Canadian Institutes of Health Research,pre,The aim of the current study was to investigate the application of agonists for EPAC or for both EPAC and PKA to the motor forelimb cortex innervating the injured corticospinal tract as a means to increase the beneficial effects of rehabilitative motor therapy after cervical SCI in rats.,
619,http://doi.org/10.34945/F5S59V,"Treatment with Gallium Maltolate after spinal cord thoracic contusion in female mice, functional outcome and inflammatory markers",Animal,2021,2021-03-24,Kroner,Kroner,43,Mouse,C57BL6/6J,Female,Charles River,8 weeks,17-21 g,Contusion,Thoracic,T11,Not reported,Not reported,Not reported,40,Force; Displacement,BMS,none,Drug/agent,gallium maltolate,gallium maltolate; inflammation; iron,NA,Department of Veterans Affairs (USA),pre,To explore the anti-inflammatory role of the iron competitor gallium maltolate after SCI.,
578,http://doi.org/10.34945/F5XW2P,"Effects of a fecal transplant from anxious donors on rehabilitative training, microbiota composition, systemic inflammation and behaviour following a unilateral cervical spinal contusion (C5, 125kdyn) in female Lewis rats",Animal,2021,2021-04-08,Karim Fouad,Not reported,40,Rat,Lewis,Female,Not reported,Not reported,200-260g,Contusion,Cervical,C5,Unilateral,Infinite Horizons impactor,Not reported,125,NA,NA,SPRGR; Open field; Cylinder; Elevated plus maze; von Frey,Fecal microbiota transplant; Rehabilitative training,fecal microbiota transplant,anxiety; inflammation; fecal transplant; spinal cord injury,NA,Not reported,post,To determine whether optimal donor selection would influence the outcome of a fecal microbiota transplant (FMT) and the efficacy of rehabilitative training after a unilateral C5 spinal contusion.,
465,http://doi.org/10.34945/F5HP4N,"Hemodynamic stability, incidence of pain, skin redness, autonomic dysreflexia and other safety related outcome measures of transcutaneous electrical spinal cord stimulation in children with cervical and thoracic spinal cord injuries",Clinical,2021,2021-08-13,*no lab listed in metadata,Behrman,8,Human (deidentified),NA,Not reported,NA,3-14 years,NA,NA,Cervical; Thoracic,Not reported,NA,NA,Not reported,NA,NA,NA,NA,Neuromodulation,transcutaneous electrical spinal cord stimulation (scTS),feasibility; neuromodulation; pediatric spinal cord injury; safety; trunk control,NA,National Institutes of Health,post,A pilot study to establish the safety and feasibility of transcutaneous electrical spinal cord stimulation (scTS) to augment upright sitting posture and trunk control in children with spinal cord injury.,
620,http://doi.org/10.34945/F5NC7X,Trunk kinematic and center of pressure displacement time series data during transcutaneous lumbosacral spinal cord stimulation and passive pelvic tilt in human pediatric participants with trunk control impairments due to cervical or thoracic spinal cord injury (pilot clinical trial NCT03975634),Clinical,2021,2021-08-13,Andrea Behrman,Behrman,5,Human (deidentified),NA,Not reported,NA,3-14 years,NA,NA,Cervical; Thoracic,Not reported,NA,NA,Not reported,NA,NA,NA,NA,Neuromodulation,transcutaneous electrical spinal cord stimulation (scTS),kinematics; pediatric spinal cord injury; transcutaneous lumbosacral spinal cord stimulation; trunk control,NA,National Institutes of Health,post,A pilot clinical trial that established the safety and feasibility of transcutaneous lumbosacral electrical spinal cord stimulation (scTS) to augment upright sitting posture and trunk control in children with spinal cord injury.,
245,http://doi.org/10.34945/F5R59J,"ASIA Impairment Scale, level of injury, intraoperative time series mean arterial pressure and heart rate after spinal cord injury in patients in a multi-site retrospective TRACK-SCI cohort: site 1 of 2",Clinical,2021,2021-11-17,Ferguson Lab,Not reported,31,Human (deidentified),NA,Not reported,NA,18-81 years,NA,NA,Cervical; Other,Not reported,NA,NA,AIS A-E,NA,NA,NA,NA,NA,NA,hemodynamics; human; intraoperative; mean arterial pressure; spinal cord injury; time seires,246; 536,Craig H. Neilsen Foundation; Department of Defense (USA); Department of Veterans Affairs (USA); National Institutes of Health; National Institute of Neurological Disorders and Stroke; Wings for Life,post,The goal for the collection of this data was to assess whether intraoperative hemodynamics (arterial pressure and heart rate) is associated to patient neurological improvement at hospital discharge in spinal cord injury,
246,http://doi.org/10.34945/F5MG68,"ASIA Impairment Scale, level of injury, intraoperative time series mean arterial pressure and heart rate after spinal cord injury in patients in a multi-site retrospective TRACK-SCI cohort: site 2 of 2",Clinical,2021,2021-11-17,Ferguson Lab,Not reported,87,Human (deidentified),NA,Not reported,NA,18-87 years,NA,NA,Cervical; Other,Not reported,NA,NA,AIS,NA,NA,NA,NA,NA,NA,hemodynamics; human; intraoperative; mean arterial pressure; spinal cord injury; time seires,245,Craig H. Neilsen Foundation; Department of Defense (USA); Department of Veterans Affairs (USA); National Institutes of Health; National Institute of Neurological Disorders and Stroke; Wings for Life,post,The goal for the collection of this data was to assess whether intraoperative hemodynamics (arterial pressure and heart rate) is associated to patient neurological improvement at hospital discharge in spinal cord injury,
652,http://doi.org/10.34945/F5D01P,"Studying Sex as a Biological Variable: Considerations of weight, anemia and mortality following thoracic spinal cord contusion injury in male and female mice",Animal,2021,2021-11-22,Gensel Lab (Nero),Andrew Stewart,91,Mouse,C57BL/6,Female; Male,Jax; National Institute on Aging,4 months; 14 months,18-44 g,Contusion,Thoracic,T9,Not reported,Infinite Horizons impactor,Not reported,60,Force; Displacement,BMS,NA,NA,NA,NA,NA,National Institutes of Health,post,"To examine functional recovery, morbidity, mortality, etc. as a function of both sex and age in C57Bl/6J mice after thoracic contusion SCI.",
713,http://doi.org/10.34945/F5V01Q,Gait kinematic parameters and onset/offset of EMG muscle activities during overground walking in healthy female Yucatan minipigs at different speed ranges from 0.4 m/s to 1.6 m/s,Animal,2022,2022-03-11,Mushahwar Lab University of Alberta,Vivian Mushahwar,9,Pig,Yucatan,Female,not available,not available,32-42 kg,NA,NA,NA,NA,NA,NA,NA,NA,Gait kinematics,NA,NA,NA,kinematics; large animal model; overground walking; porcine model; spinal cord injury; walking,NA,Canada Foundation for Innovation; Canadian Institutes of Health Research; Department of Defense (USA),post,To provide a baseline for the overground walking in the healthy Yucatan mini pigs.,
696,http://doi.org/10.34945/F5ZP4P,Neuroprotection and bromodomain and extra-terminal domain (BET) protein inhibition after T8 spinal cord contusion in female rats and mice,Animal,2022,2022-04-08,Jae Lee Lab,Susana Cerqueira,109,Rat; Mouse,Fischer 344; C57BL/6,Female,Envigo; Jackson Labs,not reported; 8-10 weeks,160-180 g; not reported,Contusion,Thoracic,T8,Not reported,Infinite Horizons impactor,Moderate,65; 200,Force; Displacement,BBB; BMS,NA,Drug/agent,IBET-151; IBET-762,BET proteins; BRD4; epigenetic inhibition; inflammation; spinal cord inj,NA,Department of Defense (USA); National Institutes of Health; National Institutes of Neurological Disorders and Stroke,post,"To test the therapeutic potential of inhibiting bromodomain and extraterminal domain (BET) proteins after SCI, and investigate the role of the BET protein BRD4 in macrophages during progression of SCI pathology.",
727,http://doi.org/10.34945/F5KG6Z,"AIS impairment scale, injury characteristics, intraoperative data after spinal cord injury in patients from a TRACK-SCI cohort",Clinical,2022,2022-03-24,TRACK-SCI De-ID Lab,Adam R Ferguson and Jonathan Z Pan,159,Human (deidentified),NA,NA,NA,18-87 years,NA,NA,Cervical; Other,Not reported,NA,NA,AIS A-E,NA,NA,NA,NA,NA,NA,,,Craig H. Neilsen Foundation; Department of Defense (USA); Department of Veterans Affairs (USA); National Institutes of Health; National Institute of Neurological Disorders and Stroke; Wings for Life,post,"To identify predictors of whether a patient would improve on the ASIA Impairment Scale (AIS) grade between time of hospital admission and hospital discharge; predictors investigated include injury characteristics, anesthetics and vasopressors used during surgery, MRI BASIC score, length of surgery and hospital stay, and intraoperative hemodynamics.",
734,http://doi.org/10.34945/F56887,Genetic deletion of the glucocorticoid receptor in Cx3cr1+ myeloid cells is neuroprotective and improves motor recovery in female mice after 75 kdyne T9 contusion spinal cord injury,Animal,2022,2022-05-13,Phillip Popovich,Phillip G. Popovich,39,Mouse,C57BL/6J,Female; Unknown,Bred at OSU University Animal Laboratory Resources Facility,7-30 weeks; unknown,20-30 g,Contusion,Thoracic,T9,Not reported,Infinite Horizons impactor,Moderate,75,Force; Displacement,BMS,NA,Genetic,glucocorticoid receptor deletion,astrocyte; axon regeneration; behaviour; deymelinated; glucocorticoid; macrophage; microglia; spinal cord injury,NA,National Institutes of Health; Ray W. Poppleton Endowment; Wings for Life,post,"In myeloid cells, glucocorticoids binding to GRs can enhance or repress gene transcription, thereby imparting distinct and context-dependent functions in macrophages at sites of inflammation. In experimental models and in humans, glucocorticoids are widely used as anti-inflammatory treatments to promote recovery of function after SCI. Thus, we predicted that deleting GR in mouse myeloid lineage cells (i.e., microglia and monocyte-derived macrophages) would enhance inflammation at the site of injury and worsen functional recovery after traumatic spinal cord injury (SCI).",
695,http://doi.org/10.34945/F5B012,Microglia coordinate cellular interactions during spinal cord repair after contusion or crush spinal cord injury in female mice,Animal,2022,2022-05-13,Phillip Popovich,Faith Brennan,230,Mouse,C57BL/6J,Female,Jackson Labs,10-12 weeks,Not reported,Contusion; Crush,Thoracic; Lumbar,T9; L1,Not reported,Infinite Horizons impactor; forceps,Not reported,75,Force; Displacement,BMS; Ladder walking,"SPRGR; Heat sensitivity, von Frey",Drug/agent,PLX5622,astrocyte; axon regeneration; behaviour; demyelinating disease; microglia; spinal cord injury,NA,Craig H. Neilsen Foundation; National Institutes of Health; Ray W. Poppleton Endowment; Wings for Life,post,"To better understand the specific role of microglia in SCI, we pharmacologically depleted microglia using the CSF1R antagonist PLX5622 (1200 ppm).",related GEO dataset: GSE196928
735,http://doi.org/10.34945/F52G69,Lung immunity after complete thoracic spinal cord transection in female mice,Animal,2022,2022-05-13,Phillip Popovich,Katherine A. Mifflin,242,Mouse,C57BL/6J,Female,Jackson Labs,9-13 weeks,not available,Transection,Thoracic,T2; T4,NA,Microscissors and suction,Complete,NA,NA,NA,NA,NA,NA,AMD3100; bacteria; immune surveillance; infection; lung; pneumonia; pulmonary immunity; spinal cord injury,NA,Craig H. Neilsen Foundation; EU Eura Net - Neuron Program; National Institutes of Health; National Institute of Neurological Disorders and Stroke; Ohio State University; Ray W. Poppleton Endowment; William E. Hunt and Charlotte M. Curtis Endowment; Wings for Life,post,To test the hypothesis that SCI directly impairs pulmonary immunity and subsequently increases the risk for developing pneumonia.,
747,http://doi.org/10.34945/F5DS3C,Comparing the effect of skilled forelimb rehabilitative training after unilateral cervical contusion and dorsal quadrant spinal cord injury in female Lewis rats,Animal,2022,2022-06-10,Keith K Fenrich,Ana Lucas Osma; Romana Vavrek; Emma Schmidt,42,Rat,Lewis,Female,Charles River Canada,8 weeks,180-220 g,Contusion; DLQ,Cervical,C4; C5,Unilateral (contusion: 1.25 mm from midline 15 degrees towards midline; DLQ: ipsilateral to preffered paw),Infinite Horizons impactor; Custom blade,,125,NA,NA,SPRGR; Forelimb severity score,Rehabilitative training,SPRGR training,corticospinal tract; dorsolateral quadrant transection; forelimb motor task; functional recovery; grey matter loss; neuroplasticity; rubrospinal tract; rehabilitative training; single pellet reaching; skilled motor task; spinal cord injury; unilateral contusion,NA,Canadian Institutes of Health Research; Craig H. Neilsen Foundation,post,"To compare the impact of injury size on recovery in a SPRGR task, in rats with cervical unilateral contusion injuries (UCs) with a dorsolateral quadrant transection (DLQ).",
retracted,retracted,retracted,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retracted,retracted,retracted,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,http://doi.org/10.34945/F5588X,Immune phenotyping SCI patients versus healthy controls,Clinical,2022,2022-08-29,Somers-Fraussen lab,Not reported,36,Human (deidentified),NA,Female; Male,NA,18-73 years,NA,NA,Cervical; Thoracic,Not reported,NA,NA,AIS A-E,NA,NA,NA,NA,NA,NA,B cell; flow cytometry; human; immune profiling,NA,Wings for Life,post,To extensively analyse the circulating immune cell composition in traumatic SCI patients in relation to clinical parameters.,
731,http://doi.org/10.34945/F5XS31,Assessment of spinal cord glutathione levels and regulatory pathways at 1- and 3-days post-injury after 60 kDyn T9 spinal-contusion using the Infinite Horizons impactor in male and female 4- and 14-month old mice and evaluating n-acetylcysteine amide as a therapy in female 4- and 14-month old mice to restore spinal cord levels of glutathione and to protect against oxidative stress and affect locomotor outcomes and thermal sensitivity by 28-days after spinal cord injury,Animal,2022,2022-09-13,Gensel Lab (Nero),Andrew Stewart,198,Mouse,C57BL/6,Female; Male,Jax,4 months; 14 months,19-41 g,Contusion,Thoracic,T9,Bilateral,Infinite Horizons impactor,Not reported,60,Force; Displacement,BMS,Hargreaves,Drug/agent,n-acetylcysteine amide (NACA),aging; neuroprotection; oxidative stress; redox activity; sex difference,NA,Craig H. Neilsen Foundation; National Institutes of Health; National Institute on Alcohol Abuse and Alcoholism; National Institute of Neurological Disorders and Stroke; University of Kentucky,post,"To evaluate the role of advanced age at the time of spinal cord injury (SCI) on antioxidant defense, with an emphasis on glutathione synthesis and metabolism; further this study aimed to determine if enhancing spinal levels of glutathione using the cysteine supplement n-acetylcysteine amide (NACA) would confer age-dependent effects on functional and histological outcomes.",
